"Continue","Devam"
"Connect","Bağlan"
"Disconnect","Bağlantıyı iptal et"
"Login","Giriş"
"Register","Kayıt ol"
"Unable to retrieve access code","Erişim kodu alınamadı"
"Required HTTP method is not supported","Gerekli HTTP metodu desteklenmiyor"
"Unspecified OAuth error occurred","Tanımlanamayan OAuth hatası oluştu"
"HTTP error %d occurred while issuing request","İsteği gerçekleştirirken HTTP hatası %d oluştu"
"No access token available","Erişim anahtarı alınamadı"
"No refresh token, nothing to revoke","Yenileme anahtarı yok, geri alınacak bir işlem yok"
"No refresh token, unable to refresh access token","Yenileme anahtarı yok, erişim anahtarı yenilenemedi"
"Unable to retrieve request token","İstek anahtarı alınamadı"
"Unable to retrieve access token","Erişim anahtarı alınamadı"
"Unable to proceed without an access token","Erişim anahtarı olmadan devam edilemiyor"
"You have successfully disconnected your Facebook account from our store account.","Facebook hesabınızı başarıyla pasif hale getirdiniz."
"Facebook Connect process aborted.","Facebook bağlantı işlemi iptal edildi."
"Sorry, ""%s"" error occured. Please try again.","Özür dileriz, ""%s"" hata oluştu. Lütfen tekrar deneyin."
"Your Facebook account is already connected to one of our store accounts.","Facebook hesabınız sitemizdeki bir hesapla eşleşiyor."
"Your Facebook account is now connected to your store accout. You can now login using our Facebook Connect button or using store account credentials you will receive to your email address.","Facebook hesabınız sitemizle ilişkilendirildi. Bundan sonra Facebook ile bağlan butonuyla, ya da eposta adresinize gelen kullanıcı bilgileriyle giriş yapabilirsiniz."
"You have successfully logged in using your Facebook account.","Facebook hesabınızla başarıyla giriş yaptınız."
"We have discovered you already have an account at our store. Your Facebook account is now connected to your store account.","Sitemizde zaten bir hesabınızın olduğunu farkettik. Facebook hesabınızı site hesabınızla birleştirdik."
"Sorry, could not retrieve your Facebook first name. Please try again.","Özür dileriz, Facebook adınızı alamadık. Lütfen tekrar deneyin."
"Sorry, could not retrieve your Facebook last name. Please try again.","Özür dileriz, Facebook soyadınızı alamadık. Lütfen tekrar deneyin."
"Your Facebook account is now connected to your new user accout at our store. Now you can login using our Facebook Connect button or using store account credentials you will receive to your email address.","Facebook hesabınız sitemizle ilişkilendirildi. Bundan sonra Facebook ile bağlan butonuyla, ya da eposta adresinize gelen kullanıcı bilgileriyle giriş yapabilirsiniz."
"You have successfully disconnected your Google account from our store account.","Google hesabınız başarıyla mağaza hesabınızdan ayrıldı."
"Google Connect process aborted.","Google bağlantı işlemi iptal edildi."
"Your Google account is already connected to one of our store accounts.","Google hesabınız sitemizdeki bir hesapla eşleşiyor."
"Your Google account is now connected to your store accout. You can now login using our Google Connect button or using store account credentials you will receive to your email address.","Google hesabınız sitemizle ilişkilendirildi. Bundan sonra Google ile bağlan butonuyla, ya da eposta adresinize gelen kullanıcı bilgileriyle giriş yapabilirsiniz."
"You have successfully logged in using your Google account.","Google hesabınızla başarıyla giriş yaptınız."
"We have discovered you already have an account at our store. Your Google account is now connected to your store account.","Sitemizde zaten bir hesabınızın olduğunu farkettik. Google hesabınızı site hesabınızla birleştirdik."
"Sorry, could not retrieve your Google first name. Please try again.","Özür dileriz, Google adınızı alamadık. Lütfen tekrar deneyin."
