"###","- - - - - - - - - - - - - - - - - - - - -"
"###","Custom phrases that exist only in this theme."
"###","- - - - - - - - - - - - - - - - - - - - -"
"###","Page Module"
"Results per page","Results per page"
"%s-%s of %s","%s-%s of %s"
"###","Catalog Module"
"Filter","Filter"
"View Details","Detayları Göster"
"Share on Facebook","Facebook'ta Paylaş"
"Share on Twitter","Twitter'da Paylaş"
"###","Checkout Module"
"Are you sure you want to leave this page? You will need to go through the checkout steps again.","Bu sayfadan ayrılmak istediğinize emin misiniz? Satınalma adımlarını baştan ilerletmeniz gerekecektir."
"Zip/Postal Code","Posta Kodu"
"Discount Codes?","İndirim Kodu?"
"###","Customer Module"
"Registration is free and easy!","Üye olmak ücretsiz ve çok kolay!"
"Faster checkout","Daha kolay satınalma işlemleri"
"Save multiple shipping addresses","Daha fazla teslimat adresi ekleyin"
"View and track orders and more","Sipariş görüntüleme ve takibi"
"New Here?","Sitemizde Yeni Misiniz?"
